1,eusebius,m
1,euseby,m
1,eustacia,f
1,evan,m
1,evander,m
1,everard,m
1,ewen,m
1,fanny ,f
1,farquhar,m
1,felizarda,f
1,felton,m
1,ferdinand,m
1,fergus,m
1,fiducia,f
1,finlay,m
1,fisher,m
1,fleming,m
1,florence,f
1,florentina,f
1,florentius,m
1,floretta,f
1,forbes,m
1,forster,m
1,fox,m
1,frances,m
1,francina,f
1,francis,f
1,francisca,f
1,francsdatt,m
1,frederic,m
1,fulke,m
1,gabiel,m
1,gabriella,f
1,gamaliel,m
1,garden,m
1,gaspar,m
1,gavin,m
1,gawen,m
1,gaynor,m
1,georgina,f
1,georgine,f
1,geraldina,f
1,geraldine,f
1,gervais,m
1,gervase,m
1,gibson,m
1,gloriana,f
1,glynn,m
1,glynne,f
1,gonville,m
1,goodlatt,m
1,gordon,m
1,graeme,m
1,grant,m
1,gresham,m
1,greswolde,m
1,greville,m
1,grey,m
1,griffin,m
1,grigor,m
1,griselda,f
1,guildford,m
1,guy,m
1,gwenllian,f
1,gwynne,m
1,halswell,m
1,hamelin,m
1,hamilla,f
1,hamlet,m
1,hampsen,m
1,hannah,m
1,hannibal,m
1,hans,m
1,hanson,m
1,harriett,f
1,harriette,f
1,harriott,f
1,harry,m
1,harvey,m
1,harvie,m
1,hector,m
1,hedworth,m
1,helena,m
1,heneage,f
1,heneage,m
1,hennora,f
1,henriette,f
1,hersey,f
1,hervey,m
1,hibbert,m
1,hildebrand,m
1,holt,m
1,honora,f
1,honoratus,m
1,horace,f
1,horatia,f
1,horation,m
1,hosea,m
1,hugh,f
1,hyacinth,f
1,ianthe,f
1,idris ,m
1,iever,m
1,ilay,m
1,indiana,f
1,inigo,m
1,irene,f
1,isaac,m
1,isabella,m
1,isabilla,f
1,isadore,m
1,isett,f
1,issacher,m
1,issobelle,f
1,izett,f
1,jacomina,f
1,jacques,m
1,jamima,f
1,janet,m
1,jannette,f
1,jaques,m
1,jasper,m
1,jean,f
1,jean,m
1,jeannette,f
1,jehosaphat,m
1,jennet,f
1,jennifer,m
1,jenny,f
1,jeremy,m
1,jermyn ,m
1,jesse,m
1,jessie,f
1,jestina,f
1,job,m
1,jocelyn,m
1,johanna,f
1,john ,m
1,jonas,m
1,jordan,?
1,josceline,?
1,josceline,m
1,josephina,f
1,josette,f
1,joyce,f
1,julia,f
1,julian,?
1,juliet,f
1,julines,f
1,justin,m
1,justina,f
1,justinian,m
1,karenhappuch,f
1,keane,m
1,keating,m
1,kenelm,m
1,kezia,f
1,kimbery,f
1,kingsmill,m
1,kyrle,m
1,kythe,f
1,lachlan,m
1,lancelot,m
1,latimer,m
1,lauchlan,m
1,launcelot,m
1,laure,f
1,lavalin,m
1,laves,m
1,leckie,m
1,leith,m
1,leland,m
1,lelia,f
1,lemuel,m
1,lemule,m
1,lena,f
1,lennox,m
1,Leonora,f
1,leontina,f
1,letitia,f
1,lewellyn rees,m
1,lewen,m
1,lewis,m
1,lindsay,f
1,livia,f
1,llewellyn,m
1,llewelyn,m
1,lloyd,m
1,lodowick,m
1,lora,f
1,lorne,m
1,love,f
1,loveday,f
1,lovelace,m
1,lowry,m
1,luc,m
1,lucia,f
1,lucie,f
1,lucrectia,f
1,lucretia,f
1,ludivina,f
1,lumley,m
1,lynch,m
1,mackay,m
1,macky,m
1,madeleine,f
1,magdalen,f
1,maitland,m
1,malcolm,m
1,Mallet,f
1,malvina,f
1,mangalina,f
1,manoah,m
1,marguerite,f
1,mariana,f
1,marie alexandrine,f
1,marin,m
1,marinda,f
1,marmaduke ,m
1,mary ,f
1,mary anne,f
1,marya,f
1,mathew,f
1,mathewana,f
1,mathias,m
1,matthew ,m
1,matty,f
1,maurice,m
1,maxwell,m
1,melina,f
1,melosina,f
1,meltiah,?
1,mercia,f
1,meredith,f
1,meriah,f
1,merrik,m
1,meryel,f
1,methven,m
1,middleton,m
1,miguel,m
1,mirabella,f
1,miranda,f
1,money,m
1,monnoux,m
1,montagu,m
1,montgomery,m
1,morgan ,m
1,mortan,m
1,murrough,m
1,muschamp,m
1,musgrave,m
1,mylles,m
1,naria/marena,f
1,nash,m
1,nathaniel,m
1,neil,m
1,nelson,m
1,neptune,m
1,neville,m
1,newland,m
1,nichola,f
1,nicol,m
1,nicola,f
1,niell,m
1,nigel,m
1,nocholas,m
1,norman,m
1,o'bryen,m
1,obadiah,m
1,olive,f
1,olympia,f
1,orchard,m
1,orford,m
1,osmond,m
1,oswald,m
1,other-archer,m
1,other-hickman,m
1,pamela,f
1,pascoe,m
1,paulet,m
1,paulus,m
1,pearce,m
1,peche,m
1,peniel,f
1,penn,m
1,persiana,f
1,phebe,f
1,phila,f
1,philippa,f
1,phillipa,m
1,phillippa,f
1,phillomy,m
1,phineas,m
1,phipps,m
1,pierce,m
1,pierre,m
1,pissillo,f
1,pitcairn,m
1,polyjena,f
1,polyxene,f
1,popley,f
1,poulett,m
1,powell,m
1,price,m
1,prince,m
1,prudentia,f
1,pryce,m
1,pryse,m
1,pudsey,m
1,pyne,f
1,quaile,m
1,rabinett,?
1,rachael,f
1,rafela,f
1,raleigh,m
1,ranald,m
1,randall,m
1,randolph,m
1,raphael,m
1,rawdon,m
1,rawleigh,m
1,rebeckah,f
1,remington,m
1,renea,f
1,reuben,m
1,reynoldia,f
1,richarda,f
1,roach,m
1,robiniana,f
1,roger,m
1,romeo,m
1,rosabelle,f
1,rosamond,f
1,rosina,f
1,ross,m
1,rowenia,f
1,rowley,m
1,sacheverell,m
1,salisbury,f
1,sambrooke,m
1,samia,f
1,sampson,m
1,samuel,m
1,sara,m
1,saumarez,m
1,saunders,f
1,scanina,f
1,scepter,?
1,sebastain,m
1,selah,f
1,semira,f
1,sevilla,f
1,sewallis,f
1,sewallis,m
1,shawe,m
1,sheldon,m
1,shirley,f
1,sholto,m
1,shubal,?
1,shute,m
1,sidney,f
1,silas,m
1,sinclair,m
1,smith,m
1,sophia ,f
1,sophie,f
1,st. leger,m
1,stafford,m
1,stanislaus,m
1,steuarta,f
1,stopford,m
1,stratford,m
1,suckling,m
1,susan ,f
1,sydney,f
1,syndney,m
1,tatton,m
1,tenison,m
1,thedosia,f
1,theobald,m
1,theodosia,f
1,theophilius,m
1,theophilus,m
1,theresa,f
1,theresia,f
1,thirza,f
1,thomas ,m
1,thornton,m
1,thynne,m
1,timothy,m
1,titus,m
1,tobias,m
1,tompkins,m
1,tonman,m
1,townshend,m
1,trasea,f
1,trevor,f
1,tristram,m
1,tysoe,m
1,udolphus,m
1,una,f
1,urith,f
1,vashti,f
1,vere,m
1,victoria,f
1,villiers,m
1,vincent,m
1,virginius,f
1,wade,m
1,walden,m
1,wallop,m
1,warren,m
1,warwick,m
1,watkins,m
1,wendela,f
1,wendelina,f
1,wilfrid,m
1,william ,m
1,williamina,f
1,windham,m
1,wortley,f
1,wriothesley,m
1,wynne,m
1,zaccheus,m
1,zebedee,m
1,zephaniah,m
1,zoe,f
